IsCitedBy  
Cites  
IsSupplementTo  
IsSupplementedBy  
IsContinuedBy  
Continues  
HasMetadata  
IsMetadataFor  
IsNewVersionOf  
IsPreviousVersionOf  
IsPartOf  
HasPart  
IsReferencedBy  
References  
IsDocumentedBy  
Documents  
IsCompiledBy  
Compiles  
IsVariantFormOf  
IsOriginalFormOf  
IsIdenticalTo  
IsReviewedBy  
Reviews  
IsDerivedFrom  
IsSourceOf
